作答ID,用户ID,开始时间,结束时间,作答总时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,国家,Province,City,Device,OS,Browser,Pixel,Randomisation,Gender,Age,Education,MotherLanguage,MotherLanguage_2,History_AI_Suage,JsPsych_1,JSPSYCH_2,DiagnosedMBTISelfTrait,MBTI_type,Intro_Extro,Intui_Sens,Felli_Think,Perc_Jude,MBTI_Match_Self_Content,SelfMBTI_1,SelfMBTI_2,SelfMBTI_3,SelfMBTI_4,SelfMBTI_5,SelfMBTI_6,SelfMBTI_7,SelfMBTI_8,SelfMBTI_9,SelfMBTI_10,SelfMBTI_11,SelfMBTI_12,SelfMBTI_13,SelfMBTI_14,SelfMBTI_15,SelfMBTI_16,BrandMBTI_1,BrandMBTI_2,BrandMBTI_3,BrandMBTI_4,BrandMBTI_5,BrandMBTI_6,BrandMBTI_7,BrandMBTI_8,BrandMBTI_9,BrandMBTI_10,BrandMBTI_11,BrandMBTI_12,BrandMBTI_13,BrandMBTI_14,BrandMBTI_15,BrandMBTI_16,InfluencerMBTI_1,InfluencerMBTI_2,InfluencerMBTI_3,InfluencerMBTI_4,InfluencerMBTI_5,InfluencerMBTI_6,InfluencerMBTI_7,InfluencerMBTI_8,InfluencerMBTI_9,InfluencerMBTI_10,InfluencerMBTI_11,InfluencerMBTI_12,InfluencerMBTI_13,InfluencerMBTI_14,InfluencerMBTI_15,InfluencerMBTI_16,ProjectiveMBTI_1,ProjectiveMBTI_2,ProjectiveMBTI_3,ProjectiveMBTI_4,ProjectiveMBTI_5,ProjectiveMBTI_6,ProjectiveMBTI_7,ProjectiveMBTI_8,ProjectiveMBTI_9,ProjectiveMBTI_10,ProjectiveMBTI_11,ProjectiveMBTI_12,ProjectiveMBTI_13,ProjectiveMBTI_14,ProjectiveMBTI_15,ProjectiveMBTI_16,Brand_Influencer_1,Brand_Influencer_2,Brand_Influencer_3,Brand_Influencer_4,Brand_Influencer_5,Brand_Influencer_6,Brand_Influencer_7,Brand_Influencer_8,Brand_Influencer_9,Brand_Influencer_10,Brand_Influencer_11,Brand_Influencer_12,TargetingGap_1_R,TargetingGap_2_R,TargetingGap_3_R,TargetingGap_4,TargetingGap_5_R,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5_R,ConversionGap_1,ConversionGap_2,ConversionGap_3,ConversionGap_4,ConversionGap_5,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Referencing_1,Referencing_2,Referencing_3,Referencing_4,Referencing_5,AdEngagement_1,AdEngagement_2,AdEngagement_3,AdEngagement_4,AdEngagement_5,AdEngagement_6,AdEngagement_7,AdEngagement_8,AdEngagement_9,AI_Interactivity,AI_Spontaneity,AI_Immersiveness,AI_Realtime,AI_Intimateness,AI_Empathy,AI_Serendipity,AI_Involvement,AI_Stereotype,AI_Inflexibility,AI_Out_of_Context,AI_Out_of_Memory,AI_Rigidity,AI_Semantic_Drift,AI_Staganance,AI_Low_Credibility,AI_Off_Topic,AI_Ethical_Guardrail,AI_Cultural_Inappropriateness,CAT_HumanLikeness,CAT_AlgorithmRestriction,AIChat_HumanlikeResponsiveness,AIChat_AlgorithmRestriction,Division_AIchatAttitude,Recall_Influencer,Recall_Brand,Recall_TalkObjective,Recall_Length_Talk,Awareness_AIChatbot
28,p7YRqOzL,2025-06-04 23:23:43,2025-06-04 23:36:12,749,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,111.34.98.112,116.5872450,35.4153930,中国,山东省,济宁市,COMPUTER,Windows,Chrome,1920px*1080px, ,2,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_98247a00637f45149e4fa98,ISFJ,6,1,2,1,2,2,2,4,2,5,4,2,4,4,4,4,4,4,4,4,5,1,4,4,4,5,5,5,4,4,3,4,3,4,4,5,5,5,4,4,4,4,4,3,4,4,5,4,3,3,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,2,2,2,2,2,4,4,4,4,2,3,4,1,1,1,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,3,3,2,2,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,5,3,3,2,3,2,2,2,2,1,1,1,1,1,1,2,1,1,2.187125,.686181818181818,1,5,5,3,3,4
29,RMW2mNye,2025-06-04 21:52:35,2025-06-04 22:21:13,1718,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,223.215.192.124,117.1182480,31.5190980,中国,安徽省,六安市,COMPUTER,Windows,Chrome,1536px*960px, ,2,5,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_1bae8799901c48aa8d4e777,ENTJ,12,2,1,2,2,2,4,2,5,1,4,4,3,4,5,4,4,4,5,4,4,2,4,3,5,4,4,5,4,3,5,4,4,5,5,4,3,4,4,3,3,5,4,4,5,3,5,4,4,3,5,4,4,3,5,5,4,3,4,5,4,4,5,3,4,4,3,5,4,3,4,4,5,3,4,3,5,4,4,5,4,3,2,2,1,1,1,4,5,5,4,3,5,5,2,1,1,4,5,5,3,4,4,5,4,5,5,4,3,5,4,4,5,4,5,4,4,5,3,5,5,4,4,5,4,3,4,5,3,4,4,5,5,3,4,5,4,4,4,4,5,3,4,5,5,4,2,1,1,2,2,1,2,2,1,1,2,2,1,2.54075,.735909090909091,3,16,16,2,3,5
30,BMDpr2gM,2025-06-04 21:19:33,2025-06-04 21:36:11,998,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,114.136.48.88,121.4508324,25.1748022,中国,台湾,台湾,COMPUTER,Mac OS X,Chrome,1440px*900px, ,2,2,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_1d86f9677a3749228612c70,ESFJ,14,2,2,1,2,2,5,1,4,2,4,2,4,5,2,4,5,4,5,5,5,2,3,5,4,3,4,3,4,4,4,3,4,3,4,2,4,4,4,4,4,2,2,4,4,2,4,2,4,2,4,2,5,2,4,4,5,4,4,4,4,2,4,3,4,3,5,2,4,2,4,4,5,4,4,4,4,5,4,4,4,5,2,2,2,1,2,3,4,4,5,2,4,2,3,2,2,4,4,4,3,4,4,4,3,4,4,2,2,4,4,4,5,4,4,4,4,5,4,5,4,5,4,5,2,3,4,4,3,5,4,5,4,4,4,4,5,4,4,4,5,4,3,2,2,5,4,4,1,1,4,2,3,1,2,2,2,1,2,2.2065,1.14036363636364,2,7,7,3,4,4
31,JekYpgA7,2025-06-04 20:54:12,2025-06-04 21:09:24,912,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,175.43.25.210,118.5894210,24.9088530,中国,福建省,泉州市,COMPUTER,Windows,WeChat,2560px*1707px, ,2,3,4,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_a54661e8b2ef465fa72ea5a,INFJ,2,1,1,1,2,2,4,3,2,4,4,3,3,4,4,5,4,4,4,4,5,2,3,5,4,4,5,4,5,5,3,4,3,4,4,4,5,5,4,3,4,4,4,5,5,4,4,5,4,4,3,4,4,5,4,4,3,4,4,5,4,5,3,4,3,4,4,5,5,5,4,5,5,4,4,4,5,5,4,4,5,4,2,2,3,2,2,4,3,4,3,2,4,5,3,2,2,4,4,5,4,4,5,5,4,4,4,4,5,5,5,4,4,5,5,4,3,4,4,5,5,4,3,3,4,4,5,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,3,4,2,2,1,2,2,3,3,2,2,3,3,1,2,2.19425,1.06463636363636,2,6,6,2,3,3
32,eyPDxgQL,2025-06-04 20:25:09,2025-06-04 20:41:15,966,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,36.63.195.96,118.3499302,31.3816921,中国,安徽省,芜湖市,COMPUTER,Mac OS X,Safari,1440px*900px, ,2,3,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_aba1b687a2e64653858c69c,INFJ,2,1,1,1,2,2,4,3,3,4,4,4,4,5,3,4,5,5,5,5,4,3,5,5,5,4,4,4,5,5,5,4,2,4,4,4,4,5,4,2,4,4,4,5,4,4,5,5,4,4,4,4,5,5,4,4,4,5,5,4,4,5,5,4,2,4,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,2,2,2,2,2,5,5,4,4,2,4,5,2,2,2,4,4,5,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4,5,4,4,4,4,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,5,2,5,2,1,1,1,1,2,2,2,2,1,1,2,1,2.51125,.704363636363636,3,6,6,3,3,4
33,5M2yo6ke,2025-06-04 19:46:10,2025-06-04 20:11:45,1535,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,14.31.226.17,113.3217160,22.5537380,中国,广东省,中山市,COMPUTER,Windows,Chrome,1536px*864px, ,2,1,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_9433dd82caf9444982daecc,ISTP,7,1,2,2,1,2,4,3,2,4,5,2,4,4,5,2,4,4,4,5,2,4,2,5,4,4,5,1,4,2,4,3,5,3,4,2,4,2,2,5,3,4,4,2,4,2,5,4,4,4,5,2,4,2,2,5,3,4,5,4,4,2,5,3,5,4,5,4,5,2,5,4,5,5,5,5,4,4,4,5,5,4,2,1,2,2,2,2,3,3,5,1,4,4,2,2,2,4,4,5,5,5,4,4,4,5,4,5,4,5,4,4,3,4,4,4,5,5,4,4,3,3,4,5,4,2,4,5,4,4,5,5,4,4,4,5,5,4,5,4,5,5,4,4,2,5,2,2,1,2,2,1,2,2,2,3,3,2,2,2.620875,.921727272727273,4,9,9,2,5,5
34,G7XB8Be3,2025-06-04 19:54:38,2025-06-04 20:09:07,869,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,223.88.194.53,114.3748220,36.1117879,中国,河南省,安阳市,COMPUTER,Windows,Chrome,1536px*864px, ,1,3,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_cd2229891e26485e924f899,INFJ,2,1,1,1,2,2,4,4,2,4,4,5,2,4,4,5,5,4,4,5,4,2,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,5,4,4,5,4,4,4,4,5,5,5,4,4,4,5,4,5,4,4,4,5,5,5,4,4,4,4,5,4,2,2,1,2,2,4,4,4,5,2,4,4,2,2,2,4,4,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5,5,4,4,5,4,4,4,4,4,5,4,4,4,3,3,4,4,4,5,4,4,3,4,2,2,1,1,2,2,2,1,1,2,2,1,1,2.483,.775818181818182,1,6,6,3,3,4
35,xMoD5XW7,2025-06-04 19:30:15,2025-06-04 19:46:10,955,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,117.42.41.105,117.2146640,29.2925600,中国,江西省,景德镇市,COMPUTER,Windows,WeChat,1440px*960px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_e0360fe1eafd42708d8aab1,ENTP,11,2,1,2,1,2,5,2,5,3,5,5,4,5,5,3,5,5,5,4,3,4,5,4,5,4,5,5,5,5,4,5,5,5,3,5,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,4,3,5,5,5,4,5,5,5,4,5,4,5,4,1,1,1,1,1,5,5,5,4,1,4,5,1,1,1,5,5,4,5,5,5,4,5,5,4,4,4,5,5,4,4,5,4,4,4,5,5,5,4,4,4,4,1,5,4,5,1,5,5,4,5,4,5,5,4,5,5,5,4,5,5,5,4,5,1,1,2,1,2,1,1,1,1,2,1,2,1,2.941375,.586818181818182,3,12,12,3,4,5
36,z7lvAd5e,2025-06-04 19:17:18,2025-06-04 19:32:25,907,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,222.20.193.225,114.3695980,30.5398960,中国,湖北省,武汉市,COMPUTER,Windows,Chrome,1538px*961px, ,1,1,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_a27e398aea2d4346b4b07a6,ENTJ,12,2,1,2,2,2,4,4,4,3,4,5,4,4,4,3,4,4,4,4,5,2,4,3,4,5,5,5,3,4,4,2,4,3,4,5,3,4,4,3,4,5,5,5,5,4,5,2,5,4,3,5,5,5,4,3,5,2,4,5,5,4,3,3,4,5,3,4,3,4,4,4,5,4,4,3,5,5,4,5,4,4,3,2,3,2,3,4,5,4,4,2,4,1,2,2,2,4,4,3,2,4,4,5,4,5,4,4,3,5,4,4,4,5,3,3,4,4,3,3,3,5,4,3,4,3,4,5,4,4,3,4,4,5,4,4,3,4,4,4,4,3,4,5,3,4,3,3,2,1,3,4,3,2,1,3,2,1,2,2.3545,1.16909090909091,2,16,16,3,3,5
37,ve82WnX7,2025-06-04 19:10:57,2025-06-04 19:29:19,1102,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,112.12.174.159,120.6993000,27.9940000,中国,浙江省,温州市,COMPUTER,Windows,Chrome,1440px*900px, ,1,2,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_b27e1aa1dc634d93afa9b26,ENTP,11,2,1,2,1,2,4,2,4,2,4,4,2,4,5,4,4,4,4,5,4,4,4,2,4,3,4,4,4,5,4,3,4,2,4,5,5,4,4,4,4,5,4,5,4,4,4,3,4,2,4,4,5,5,4,3,5,4,4,4,5,4,4,4,5,2,4,4,5,4,5,4,4,5,4,4,4,4,5,4,4,5,2,2,2,2,2,4,5,4,4,2,4,4,2,2,2,4,4,5,4,4,4,3,4,5,5,4,4,5,4,4,5,4,4,2,4,4,3,4,4,5,2,2,2,2,2,4,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4,3,2,4,2,2,1,2,2,2,1,2,2,3,2,1,1,2.425875,.882727272727273,1,12,12,3,4,5
38,AM9pWNVe,2025-06-04 17:46:13,2025-06-04 18:03:36,1043,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,223.74.194.186,114.4125990,23.0794040,中国,广东省,惠州市,COMPUTER,Windows,WeChat,1536px*864px, ,2,1,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_7c6c3adfa50545efbd938bc,ENTP,11,2,1,2,1,2,4,4,5,4,5,5,4,5,5,4,4,4,5,5,4,4,4,4,5,4,4,5,4,4,5,4,5,5,4,5,4,4,4,5,5,4,5,4,4,5,4,4,3,4,5,4,5,5,4,5,5,4,5,4,4,5,4,5,4,4,5,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,2,1,1,2,2,4,5,4,4,1,4,5,5,4,3,4,5,5,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,4,4,4,5,4,4,5,5,4,5,2,1,1,2,2,1,2,1,2,1,1,2,1,2.7595,.693727272727273,3,12,12,2,4,4
39,Ke5kz07x,2025-06-04 17:05:35,2025-06-04 17:22:27,1012,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,101.27.232.104,115.4823310,38.8676570,中国,河北省,保定市,COMPUTER,Windows,Chrome,1360px*768px, ,1,3,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_f9aa1fef4d1e4aa181b41cd,ENTP,11,2,1,2,1,2,4,2,4,3,5,4,3,5,4,4,5,4,4,5,3,3,4,3,4,5,5,4,4,5,3,5,3,5,4,5,4,5,4,3,4,5,5,4,4,5,4,4,3,4,4,3,4,5,5,4,4,3,3,5,4,4,3,5,3,4,3,4,4,5,4,5,4,5,4,5,4,5,4,4,5,4,2,2,1,1,2,5,4,5,5,2,4,3,2,2,2,4,4,5,4,5,4,3,3,4,4,4,4,5,5,4,4,4,5,4,5,5,4,5,4,4,4,5,2,5,4,4,3,4,5,4,5,4,5,5,4,4,5,4,4,5,4,5,3,4,2,2,1,1,1,2,2,1,2,3,2,2,1,2.63675,.803727272727273,3,12,12,3,4,3
40,aMgzvPOe,2025-06-04 16:12:01,2025-06-04 16:44:31,1950,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,110.184.243.111,104.0013598,30.6865313,中国,四川省,成都市,COMPUTER,Mac OS X,Chrome,1440px*900px, ,1,1,3,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_b7d471cb66914ea49f1aa8c,INTP,3,1,1,2,1,2,4,3,2,4,4,4,4,4,5,4,4,4,3,4,2,4,5,5,4,4,4,5,4,5,5,5,2,4,4,5,5,5,5,2,5,5,5,5,5,5,4,5,3,4,4,5,5,5,5,5,4,4,5,5,5,5,4,4,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,2,4,4,5,5,1,4,5,2,2,2,4,4,5,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,5,5,5,3,4,4,5,5,5,5,4,5,4,5,2,2,2,2,4,2,2,2,4,3,3,2,2,2.906875,1.19736363636364,4,10,10,3,5,5
41,o7jBYdK7,2025-06-04 16:28:03,2025-06-04 16:42:56,893,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,183.224.128.200,102.5439070,24.3504610,中国,云南省,玉溪市,COMPUTER,Windows,Chrome,1920px*1080px, ,2,3,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_fc10191015fe443f9420a6b,ENTP,11,2,1,2,1,2,5,1,4,1,5,5,2,5,4,2,5,5,4,5,1,3,4,2,4,5,5,4,5,4,5,4,5,4,5,5,5,4,4,3,5,4,5,5,4,5,5,4,3,4,5,4,4,5,5,4,5,3,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,4,5,4,5,4,4,5,4,5,2,1,2,1,2,4,3,5,4,1,4,5,1,1,2,4,5,4,4,5,4,5,4,5,4,5,5,4,4,5,5,4,5,4,5,5,5,4,5,4,4,4,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,4,5,4,4,2,4,1,2,1,1,2,1,1,2,1,1,2,2,1,2.498125,.640363636363636,3,12,12,2,5,5
42,oe4gb9DL,2025-06-04 15:34:17,2025-06-04 15:54:41,1224,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,218.29.231.2,114.0215000,33.0165000,中国,河南省,驻马店市,COMPUTER,Windows,Chrome,2560px*1440px, ,1,5,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_154535c2791b4638bd5b403,ISFJ,6,1,2,1,2,2,3,4,2,4,5,3,4,4,3,4,4,5,5,5,4,3,4,5,4,5,5,4,4,3,4,5,3,4,4,4,3,5,4,4,3,4,5,3,4,4,3,3,4,4,5,4,4,3,4,4,3,4,5,4,4,3,3,4,3,4,5,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,2,1,2,2,3,4,4,5,4,2,4,3,2,2,1,4,4,5,4,4,5,3,3,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,3,4,3,4,4,4,5,3,4,4,5,5,4,4,4,3,4,5,4,4,3,5,4,5,4,4,2,2,2,2,1,1,2,2,2,3,2,2,1,2.568125,.871909090909091,3,5,5,2,4,4
43,WLGOpd5L,2025-06-04 15:27:50,2025-06-04 15:41:36,826,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,119.237.242.28,114.2024080,22.3417660,中国,香港特别行政区,新界,COMPUTER,Windows,WeChat,1920px*1080px, ,2,2,4,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_c83c3c60d70d4ff4b42f3bb,ISTJ,8,1,2,2,2,2,2,5,2,5,5,3,4,4,5,3,3,4,5,4,5,1,3,3,2,4,2,2,2,2,4,2,4,2,4,2,5,2,3,4,4,3,2,2,4,2,5,3,5,2,5,2,5,2,1,1,1,1,3,1,3,1,1,1,3,1,1,1,1,1,3,3,2,3,4,2,2,2,2,2,2,1,3,3,3,2,2,1,1,1,2,4,2,1,4,4,3,4,2,2,3,3,2,2,4,2,2,4,4,2,2,2,2,4,4,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,4,3,3,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1.927625,.939636363636364,2,13,13,3,3,5
44,p7Yv3mmL,2025-06-04 15:18:54,2025-06-04 15:33:38,884,1,rQf63q,不同MBTI人格与对应品牌大使对话（正式版本）,27.188.252.11,114.4928760,36.5662670,中国,河北省,邯郸市,COMPUTER,Windows,Chrome,1536px*864px, ,2,5,2,1, ,1,我已知晓,https://credamo-imgfile.oss-cn-beijing.aliyuncs.com/20250604/3572865804/rQf63q/%E6%AD%A3%E5%BC%8F%E7%89%881.1%EF%BC%88%E6%96%B0%E6%B7%BB%E5%8A%A0UTC/%E4%BC%A6%E6%95%A6%E5%A4%8F%E4%BB%A4%E6%97%B6/%E4%B8%9C%E5%85%AB%E5%8C%BA%EF%BC%89_073648f08fa3423e874f2f1,ENTJ,12,2,1,2,2,2,4,2,4,1,4,5,2,4,4,2,5,4,4,2,4,2,4,4,5,4,4,5,4,4,4,5,4,4,2,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4,2,4,4,5,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4,5,4,5,4,4,5,4,2,2,1,4,3,4,5,4,4,1,2,4,2,4,4,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4,5,4,4,5,4,4,3,4,4,5,4,3,4,2,2,3,2,2,3,2,2,1,2,2,1,2,2.389625,.987090909090909,2,16,16,3,4,3
